County,Population
Appling,18236
Atkinson,8375
Bacon,11096
Baker,3451
Baldwin,45720
Banks,18395
Barrow,69367
Bartow,100157
Ben Hill,17634
Berrien,19286
Bibb,155547
Bleckley,13063
Brantley,18411
Brooks,16243
Bryan,30233
Bulloch,70217
Burke,23316
Butts,23655
Calhoun,6694
Camden,50513
Candler,10998
Carroll,110527
Catoosa,63942
Charlton,12171
Chatham,265128
Chattahoochee,11267
Chattooga,26015
Cherokee,214346
Clarke,116714
Clay,3183
Clayton,259424
Clinch,6798
Cobb,688078
Coffee,42356
Colquitt,45498
Columbia,124053
Cook,17212
Coweta,127317
Crawford,12630
Crisp,23439
Dade,16633
Dawson,22330
Decatur,27842
DeKalb,691893
Dodge,21796
Dooly,14918
Dougherty,94565
Douglas,132403
Early,11008
Echols,4034
Effingham,52250
Elbert,20166
Emanuel,22598
Evans,11000
Fannin,23682
Fayette,106567
Floyd,96317
Forsyth,175511
Franklin,22084
Fulton,920581
Gilmer,28292
Glascock,3082
Glynn,79626
Gordon,55186
Grady,25011
Greene,15994
Gwinnett,805321
Habersham,43041
Hall,179684
Hancock,9429
Haralson,28780
Harris,32024
Hart,25213
Heard,11834
Henry,203922
Houston,139900
Irwin,9538
Jackson,60485
Jasper,13900
Jeff Davis,15068
Jefferson,16930
Jenkins,8340
Johnson,9980
Jones,28669
Lamar,18317
Lanier,10078
Laurens,48434
Lee,28298
Liberty,63453
Lincoln,7996
Long,14464
Lowndes,109233
Lumpkin,29966
McDuffie,21875
McIntosh,14333
Macon,14740
Madison,28120
Marion,8742
Meriwether,21992
Miller,6125
Mitchell,23498
Monroe,26424
Montgomery,9123
Morgan,17868
Murray,39628
Muscogee,189885
Newton,99958
Oconee,32808
Oglethorpe,14899
Paulding,142324
Peach,27695
Pickens,29431
Pierce,18758
Pike,17869
Polk,41475
Pulaski,12010
Putnam,21218
Quitman,2513
Rabun,16276
Randolph,7719
Richmond,200549
Rockdale,85215
Schley,5010
Screven,14593
Seminole,8729
Spalding,64073
Stephens,26175
Stewart,6058
Sumter,32819
Talbot,6865
Taliaferro,1717
Tattnall,25520
Taylor,8906
Telfair,16500
Terrell,9315
Thomas,44720
Tift,40118
Toombs,27223
Towns,10471
Treutlen,6885
Troup,67044
Turner,8930
Twiggs,9023
Union,21356
Upson,27153
Walker,68756
Walton,83768
Ware,36312
Warren,5834
Washington,21187
Wayne,30099
Webster,2799
Wheeler,7421
White,27144
Whitfield,102599
Wilcox,9255
Wilkes,10593
Wilkinson,9563
Worth,21679