polInf,collegeDegree,female,age,homeOwn,govt,length,id
Fairly High,Yes,No,49,Yes,No,58.400001525878906,1
Average,No,Yes,35,Yes,No,46.150001525878906,2
Very High,No,Yes,57,Yes,No,89.5199966430664,3
Average,No,No,63,Yes,No,92.62999725341797,4
Fairly High,Yes,Yes,40,Yes,No,58.849998474121094,4
Average,No,No,77,Yes,No,53.81999969482422,4
Average,No,No,43,Yes,No,58.470001220703125,5
Fairly High,Yes,Yes,47,Yes,No,53.02000045776367,5
Average,Yes,Yes,26,Yes,No,58.97999954223633,5
Very High,No,Yes,48,No,Yes,86,6
Average,No,Yes,41,Yes,No,52.93000030517578,7
Fairly High,No,No,41,Yes,No,48.20000076293945,7
Fairly High,No,No,37,No,No,91,8
Average,No,Yes,18,Yes,No,53.25,8
Fairly High,No,Yes,70,Yes,No,135.47000122070312,8
Fairly High,No,No,31,Yes,No,73.37999725341797,8
Average,No,Yes,18,Yes,No,66.7699966430664,9
Fairly Low,No,Yes,22,No,No,47.970001220703125,9
Very Low,No,Yes,60,No,Yes,77.05000305175781,9
Fairly High,Yes,Yes,44,Yes,No,53.56999969482422,9
Very Low,No,No,72,Yes,No,69.06999969482422,10
Fairly Low,No,Yes,43,Yes,No,44.599998474121094,10
Fairly High,No,Yes,57,No,No,88.970001220703125,10
Average,Yes,No,43,Yes,No,74.4800033569336,10
Average,No,Yes,63,No,No,77.220001220703125,10
Fairly Low,No,Yes,40,No,No,49.68000030517578,10
Very High,Yes,Yes,44,Yes,No,48.5,11
Average,No,No,29,No,No,67.4800033569336,11
Average,No,No,63,Yes,No,45.22999954223633,11
Fairly High,No,Yes,19,No,No,57.650001525878906,11
Fairly High,No,Yes,57,Yes,No,56.880001068115234,11
Average,No,Yes,78,Yes,No,92.68000030517578,11
Average,No,Yes,39,Yes,No,120.16999816894531,11
Fairly High,No,No,68,Yes,No,79.5999984741211,8
Average,Yes,No,35,No,No,58.900001525878906,12
Average,No,Yes,22,No,No,46.630001068115234,13
Average,No,Yes,76,Yes,No,76.029998779296875,11
Average,Yes,Yes,32,Yes,No,73,11
Fairly Low,No,No,53,Yes,No,52.58000183105469,11
Average,No,Yes,59,No,No,183.10000610351562,14
Fairly High,Yes,No,62,Yes,No,NA,14
Average,Yes,Yes,30,Yes,No,87.16999816894531,15
Fairly High,No,Yes,67,Yes,No,62.779998779296875,15
Fairly High,No,Yes,43,Yes,Yes,67.5,15
Average,No,Yes,34,No,Yes,77.81999969482422,15
Very High,Yes,Yes,69,Yes,No,64.44999694824219,15
Fairly Low,No,Yes,28,No,No,51.130001068115234,12
Fairly Low,No,Yes,19,No,No,52.22999954223633,12
Average,No,Yes,23,No,No,50.58000183105469,10
Fairly Low,Yes,Yes,30,Yes,No,63.650001525878906,10
Fairly High,No,No,37,Yes,No,63.099998474121094,12
Average,Yes,No,29,Yes,No,61.72999954223633,12
Fairly High,Yes,No,47,Yes,No,92.68000030517578,16
Very High,No,Yes,67,No,No,61.869998931884766,17
Very High,Yes,Yes,NA,Yes,No,62.25,17
Average,No,No,50,Yes,No,83.31999969482422,17
Average,No,No,37,Yes,No,81.9000015258789,17
Fairly High,No,Yes,45,No,No,90.12000274658203,17
Fairly Low,No,Yes,51,No,No,58.75,17
Fairly Low,Yes,Yes,59,Yes,No,52.130001068115234,17
Average,No,No,34,Yes,No,57.31999969482422,18
Average,No,Yes,45,Yes,No,56.75,18
Fairly Low,No,Yes,43,Yes,No,59.29999923706055,18
Average,No,Yes,56,Yes,No,85.6500015258789,16
Very High,No,Yes,71,Yes,No,82.6500015258789,19
Very High,No,Yes,60,No,No,109.97000122070312,19
Average,No,Yes,52,Yes,No,60.70000076293945,20
Fairly Low,Yes,Yes,36,Yes,No,60.43000030517578,21
Fairly Low,No,Yes,58,Yes,No,72.529998779296875,21
Fairly High,Yes,Yes,38,Yes,No,54.31999969482422,22
Average,Yes,Yes,58,Yes,No,74.6500015258789,22
Fairly Low,No,No,30,No,No,58.95000076293945,2
Average,No,Yes,37,Yes,No,44.75,2
Fairly High,Yes,No,46,Yes,No,54.5,23
Very High,No,No,54,Yes,No,59.79999923706055,24
Very High,Yes,Yes,50,Yes,No,104.47000122070312,24
Average,No,Yes,84,Yes,No,59.06999969482422,24
Average,No,Yes,34,No,Yes,42.630001068115234,25
Fairly High,No,No,47,Yes,No,57.72999954223633,2
Fairly High,No,Yes,26,No,No,45.970001220703125,2
Average,Yes,Yes,40,Yes,No,56.16999816894531,25
Very Low,No,Yes,48,No,No,44.27000045776367,22
Average,No,Yes,24,Yes,No,55.56999969482422,22
Very Low,No,Yes,68,No,No,24.700000762939453,22
Average,Yes,Yes,37,Yes,No,NA,14
Average,No,Yes,34,Yes,No,234.47000122070312,14
Average,Yes,Yes,64,Yes,No,74.470001220703125,8
Average,No,Yes,34,Yes,No,76.91999816894531,11
Fairly High,No,No,45,Yes,No,74.33000183105469,18
Average,No,Yes,82,No,No,86.69999694824219,12
Fairly Low,No,Yes,38,No,No,46.06999969482422,8
Fairly High,No,No,56,No,No,50.77000045776367,8
Fairly High,Yes,No,25,Yes,No,53.97999954223633,8
Average,No,Yes,47,Yes,No,68.779998779296875,8
Average,No,No,57,Yes,No,44.150001525878906,23
Fairly High,No,Yes,76,No,No,43.880001068115234,23
Very High,Yes,No,49,Yes,No,65.12999725341797,23
Fairly Low,No,No,37,Yes,No,34.41999816894531,23
Very Low,No,Yes,35,Yes,No,49.099998474121094,23
Fairly Low,No,Yes,45,No,No,33.779998779296875,23
Average,No,Yes,51,Yes,No,54.95000076293945,23
Fairly High,Yes,No,78,Yes,No,73.58000183105469,5
Average,Yes,Yes,42,Yes,No,95.93000030517578,16
Very High,Yes,No,53,Yes,No,52.529998779296875,5
Average,No,Yes,51,Yes,No,53.869998931884766,5
Average,Yes,Yes,35,Yes,No,47.58000183105469,5
Fairly Low,Yes,No,42,No,No,69.220001220703125,5
Very High,Yes,No,36,No,Yes,67.05000305175781,5
Average,Yes,No,48,Yes,No,54.619998931884766,5
Very High,No,Yes,66,No,No,76.12000274658203,6
Very Low,No,Yes,30,No,No,47.83000183105469,6
Very High,Yes,Yes,40,Yes,No,124.91999816894531,6
Fairly Low,No,No,33,Yes,No,57.16999816894531,26
Fairly High,No,No,33,No,No,52.33000183105469,26
Very High,Yes,Yes,29,No,Yes,61.72999954223633,26
Fairly Low,No,Yes,20,Yes,No,54.16999816894531,26
Average,No,Yes,70,Yes,No,74.5,6
Very High,No,No,66,Yes,No,53,6
Very High,Yes,Yes,61,Yes,No,69.2699966430664,6
Fairly Low,No,Yes,74,Yes,No,77.7300033569336,6
Very High,Yes,Yes,65,No,No,75.44999694824219,6
Very High,Yes,Yes,55,No,Yes,51.56999969482422,6
Fairly High,Yes,No,31,Yes,No,60.68000030517578,27
Average,Yes,Yes,62,Yes,No,49.97999954223633,27
Very High,No,No,45,Yes,No,52.619998931884766,27
Fairly High,Yes,No,74,Yes,No,82.58000183105469,27
Very High,No,Yes,51,Yes,No,69.7699966430664,27
Fairly Low,No,Yes,60,Yes,No,46.47999954223633,26
Very High,No,No,65,Yes,No,50.45000076293945,28
Very High,Yes,No,59,Yes,No,50.279998779296875,28
Fairly Low,No,Yes,30,Yes,No,18.520000457763672,28
Very High,Yes,Yes,37,Yes,No,65.62000274658203,26
Average,Yes,Yes,70,Yes,No,56.279998779296875,28
Fairly Low,No,Yes,82,No,No,44.16999816894531,28
Fairly High,Yes,No,35,Yes,No,88.5,18
Fairly Low,No,No,61,Yes,No,62.43000030517578,29
Very High,No,No,57,Yes,No,74.18000030517578,18
Fairly Low,No,Yes,57,No,No,50.58000183105469,30
Average,Yes,No,41,Yes,No,42.41999816894531,9
Fairly High,No,Yes,56,Yes,Yes,48.619998931884766,30
Average,Yes,No,81,Yes,No,60.29999923706055,30
Average,Yes,Yes,35,Yes,No,77.30000305175781,14
Fairly High,Yes,No,55,Yes,No,108.5199966430664,14
Fairly High,Yes,Yes,33,No,No,90.720001220703125,14
Fairly Low,No,Yes,22,No,No,92.5999984741211,14
Average,No,No,24,No,Yes,89.81999969482422,14
Fairly High,No,Yes,78,Yes,No,61.77000045776367,31
Fairly High,Yes,No,47,No,Yes,61.75,9
Average,Yes,No,65,No,No,93.970001220703125,9
Average,Yes,Yes,79,Yes,No,76.18000030517578,9
Average,Yes,Yes,77,Yes,No,51.16999816894531,9
Fairly High,No,Yes,73,Yes,No,60.349998474121094,31
Fairly Low,Yes,Yes,44,Yes,Yes,44.22999954223633,32
Fairly Low,No,Yes,74,Yes,No,60.54999923706055,2
Average,No,Yes,88,Yes,No,58.779998779296875,2
Average,No,Yes,29,No,No,73.4800033569336,2
Average,Yes,Yes,21,Yes,Yes,53.58000183105469,33
Fairly Low,No,Yes,76,Yes,No,53.08000183105469,32
Fairly High,Yes,No,47,Yes,No,61.77000045776367,32
Very Low,No,Yes,53,Yes,No,46.79999923706055,32
Fairly Low,No,No,55,Yes,Yes,44.41999816894531,32
Fairly Low,Yes,Yes,45,No,Yes,59.130001068115234,23
Fairly Low,Yes,Yes,50,Yes,No,44.970001220703125,23
Average,No,No,37,Yes,No,49.04999923706055,23
Very Low,No,Yes,73,No,No,36.41999816894531,23
Very High,Yes,Yes,51,Yes,No,66.8499984741211,33
Average,No,Yes,46,Yes,No,81.8499984741211,33
Fairly Low,No,No,35,Yes,No,75.91999816894531,33
Fairly High,No,Yes,36,Yes,Yes,53.720001220703125,33
Fairly Low,No,No,65,Yes,No,92.75,3
Very High,Yes,No,45,No,No,76.30000305175781,3
Average,No,No,27,Yes,No,54.58000183105469,3
Very High,Yes,Yes,45,No,No,74.529998779296875,3
Average,No,No,32,Yes,Yes,48.970001220703125,5
Fairly Low,Yes,No,67,Yes,No,53.41999816894531,5
Fairly Low,No,Yes,56,Yes,No,47.04999923706055,5
Fairly High,Yes,Yes,42,Yes,No,54.220001220703125,9
Fairly Low,No,No,39,No,No,80.62999725341797,9
Average,Yes,Yes,66,Yes,No,54.849998474121094,9
Very High,Yes,Yes,68,Yes,No,126.47000122070312,11
Very High,Yes,Yes,46,Yes,No,51.72999954223633,11
Fairly High,Yes,No,63,Yes,No,83.62000274658203,9
Average,No,Yes,46,Yes,No,46.5,5
Very High,No,No,40,Yes,No,72.279998779296875,5
Fairly Low,No,Yes,59,Yes,No,47.150001525878906,5
Fairly High,Yes,Yes,41,Yes,No,69.7699966430664,5
Average,No,No,32,Yes,No,72.55000305175781,29
Fairly High,Yes,No,54,Yes,No,70.12000274658203,29
Average,Yes,No,30,Yes,Yes,57.130001068115234,29
Average,No,Yes,62,Yes,No,45.54999923706055,34
Fairly High,Yes,No,53,Yes,No,53.369998931884766,28
Very High,No,Yes,56,Yes,No,53.630001068115234,28
Very High,Yes,Yes,38,Yes,Yes,59.380001068115234,28
Average,No,Yes,70,Yes,No,53.81999969482422,28
Average,Yes,Yes,40,No,No,186.22000122070312,14
Average,Yes,Yes,52,Yes,No,95.5199966430664,9
Fairly High,No,Yes,72,No,No,91.68000030517578,9
Fairly High,Yes,No,31,No,Yes,92.08000183105469,9
Average,No,Yes,37,Yes,No,54.369998931884766,9
Average,Yes,Yes,32,No,No,59.95000076293945,9
Average,Yes,No,36,Yes,No,64.66999816894531,9
Fairly High,Yes,No,47,Yes,No,43.83000183105469,35
Fairly High,No,No,57,Yes,No,60.97999954223633,35
Fairly High,Yes,Yes,32,No,No,59.66999816894531,29
Fairly Low,No,Yes,72,No,No,61.66999816894531,29
Average,No,Yes,61,No,No,62.380001068115234,29
Average,No,No,43,Yes,No,58.52000045776367,29
Very High,Yes,No,70,Yes,No,70.3499984741211,29
Average,No,Yes,54,Yes,No,102.12000274658203,17
Very High,Yes,No,46,No,No,55.29999923706055,17
Fairly Low,No,Yes,66,No,No,72.37999725341797,12
Fairly High,Yes,No,62,Yes,No,61.91999816894531,12
Fairly High,No,No,34,Yes,No,83.75,12
Fairly High,No,Yes,67,Yes,No,79.44999694824219,17
Fairly Low,No,Yes,30,Yes,No,60.880001068115234,10
Fairly Low,No,No,26,No,Yes,53.04999923706055,13
Average,Yes,No,62,Yes,No,70.12000274658203,10
Average,No,No,28,No,No,73.9000015258789,14
Fairly High,Yes,Yes,65,Yes,No,83.06999969482422,14
Average,No,Yes,84,No,No,116.94999694824219,14
Fairly High,Yes,No,35,Yes,Yes,75.3499984741211,14
Fairly Low,No,Yes,51,Yes,Yes,56.43000030517578,33
Fairly High,No,No,31,Yes,No,51.900001525878906,33
Average,No,No,54,No,No,77.19999694824219,33
Average,Yes,No,28,Yes,No,75.33000183105469,30
Fairly Low,No,Yes,82,Yes,No,47.04999923706055,23
Average,No,No,50,Yes,Yes,52.279998779296875,23
Fairly High,No,Yes,75,Yes,No,47.529998779296875,23
Average,No,Yes,90,No,No,214.8800048828125,10
Average,No,Yes,51,No,No,83.0199966430664,10
Average,Yes,Yes,50,Yes,Yes,53.869998931884766,25
Average,No,Yes,42,Yes,No,81.720001220703125,21
Average,No,Yes,55,Yes,No,62.220001220703125,21
Fairly Low,No,No,30,Yes,No,66.529998779296875,21
Fairly High,No,Yes,50,Yes,No,55.849998474121094,25
Average,No,Yes,41,Yes,No,69.7300033569336,23
Fairly Low,Yes,Yes,29,Yes,No,45.369998931884766,23
Fairly High,No,Yes,60,Yes,No,66.7699966430664,26
Average,No,Yes,84,No,No,54.06999969482422,26
Fairly High,No,Yes,59,Yes,No,92.44999694824219,28
Average,No,Yes,42,No,No,50.650001525878906,27
Average,No,No,55,No,No,54.81999969482422,27
Fairly High,Yes,Yes,30,Yes,No,70.81999969482422,4
Very High,No,No,79,Yes,No,169.6999969482422,5
Fairly High,Yes,Yes,59,Yes,No,68.44999694824219,5
Fairly Low,No,No,35,Yes,No,55.150001525878906,23
Fairly Low,No,Yes,24,No,No,47.25,23
Fairly High,No,No,46,Yes,No,47.52000045776367,23
Fairly High,Yes,No,56,Yes,No,50.08000183105469,29
Very High,Yes,No,64,No,No,77.69999694824219,29
Fairly Low,No,No,25,No,No,40.91999816894531,29
Fairly Low,No,Yes,50,Yes,No,54.529998779296875,29
Fairly High,No,No,70,Yes,No,54.470001220703125,29
Fairly Low,No,Yes,66,Yes,No,66.529998779296875,23
Average,No,Yes,53,Yes,No,65.37999725341797,23
Fairly Low,No,No,42,No,No,46.41999816894531,23
Average,No,No,78,Yes,No,60.29999923706055,23
Average,Yes,Yes,40,No,No,49.06999969482422,23
Very High,Yes,Yes,27,Yes,Yes,60.630001068115234,33
Average,No,Yes,89,Yes,No,68.44999694824219,33
Fairly High,No,No,30,No,No,68.69999694824219,23
Fairly High,Yes,Yes,41,Yes,No,42.119998931884766,35
Average,No,Yes,74,Yes,No,87.2699966430664,29
Fairly Low,No,Yes,53,Yes,No,67.81999969482422,30
Average,No,Yes,24,Yes,No,58.22999954223633,29
Fairly High,Yes,No,43,Yes,Yes,74.4800033569336,9
Average,No,No,22,No,No,72.0199966430664,9
Average,Yes,Yes,57,No,No,73.25,9
Average,No,Yes,36,No,No,59.93000030517578,35
Average,No,Yes,44,Yes,No,72.83000183105469,9
Average,No,No,36,Yes,No,45.52000045776367,35
Average,No,Yes,49,No,No,55.220001220703125,35
Fairly High,Yes,Yes,34,Yes,Yes,50.41999816894531,35
Very High,Yes,Yes,34,Yes,No,63.900001525878906,35
Average,No,Yes,51,Yes,No,49.650001525878906,35
Fairly Low,No,Yes,35,Yes,No,43.47999954223633,35
Very Low,No,No,67,No,No,54.779998779296875,35
Very High,Yes,No,57,Yes,No,44.04999923706055,35
Fairly High,Yes,Yes,75,Yes,No,62.93000030517578,4
Average,No,No,24,Yes,No,36.95000076293945,35
Very High,No,No,64,Yes,No,106.0999984741211,13
Very High,No,Yes,38,Yes,No,65.41999816894531,13
Fairly Low,No,Yes,82,No,No,65.41999816894531,13
Average,No,Yes,71,Yes,No,63.349998474121094,35
Fairly High,Yes,No,35,Yes,No,64.62999725341797,9
Fairly High,Yes,No,58,Yes,No,66.12999725341797,9
Fairly Low,No,Yes,27,Yes,No,51.27000045776367,9
Average,No,Yes,43,Yes,No,65.94999694824219,9
Very High,Yes,No,55,Yes,No,72.470001220703125,16
Average,No,Yes,59,Yes,No,73.779998779296875,16
Average,No,Yes,84,No,No,79.69999694824219,30
Very High,No,No,43,Yes,No,55.02000045776367,30
Average,No,Yes,24,Yes,Yes,58.16999816894531,30
Average,No,Yes,43,Yes,No,83.0199966430664,9
Very High,No,No,51,Yes,No,70.44999694824219,8
Fairly High,Yes,No,74,Yes,No,85.25,8
Fairly Low,No,No,18,Yes,No,69.33000183105469,14
Average,Yes,No,40,Yes,No,49.099998474121094,23
Fairly Low,No,No,39,Yes,No,46.70000076293945,23
Fairly Low,No,Yes,45,Yes,No,61.279998779296875,23
Fairly Low,No,Yes,48,Yes,No,43.119998931884766,7
Fairly High,Yes,No,39,Yes,No,68.1500015258789,33
Fairly High,No,Yes,61,Yes,No,81.2300033569336,3
Very High,Yes,Yes,63,Yes,No,81.2300033569336,3
Average,Yes,Yes,58,Yes,No,81.8499984741211,3
Fairly High,Yes,No,31,Yes,No,62.220001220703125,5
Average,No,No,61,Yes,No,78.4000015258789,6
Very High,No,Yes,58,Yes,No,69.31999969482422,36
Very High,Yes,Yes,51,No,No,117,6
Fairly Low,No,Yes,57,Yes,No,61.970001220703125,28
Fairly Low,No,Yes,34,No,No,74.56999969482422,28
Average,No,Yes,74,No,No,102.97000122070312,6
Fairly Low,No,Yes,84,No,No,53.52000045776367,6
Very High,No,Yes,80,Yes,No,54.54999923706055,28
Average,No,Yes,46,Yes,No,55.27000045776367,7
Average,Yes,Yes,82,Yes,No,72.80000305175781,7
Fairly Low,No,Yes,57,No,No,32.099998474121094,34
Average,No,Yes,66,Yes,No,67.87999725341797,32
Fairly High,No,No,82,Yes,No,71.06999969482422,25
Fairly Low,No,Yes,44,Yes,No,69.12999725341797,33
Fairly High,No,No,72,Yes,No,96.029998779296875,33
Fairly High,Yes,Yes,72,Yes,No,87.470001220703125,33
Average,No,Yes,70,Yes,No,94.33000183105469,37
Very High,Yes,Yes,51,Yes,No,79.220001220703125,32
Average,Yes,No,26,No,No,53.02000045776367,32
Fairly High,No,Yes,33,No,No,72,32
Average,Yes,Yes,32,Yes,No,44.400001525878906,32
Fairly High,Yes,Yes,NA,Yes,No,118.05000305175781,21
Average,No,Yes,58,No,No,61.349998474121094,21
Average,Yes,Yes,37,No,Yes,64.4000015258789,33
Very High,Yes,Yes,55,Yes,No,77.56999969482422,33
Very High,Yes,No,54,Yes,No,109.30000305175781,33
Very High,No,No,22,Yes,Yes,94.2300033569336,11
Fairly High,Yes,No,49,No,No,61.349998474121094,11
Fairly Low,No,Yes,32,Yes,No,52.970001220703125,11
Very High,No,No,63,Yes,No,70.06999969482422,11
Very Low,No,No,63,Yes,No,48.47999954223633,29
Average,No,Yes,72,No,No,56.02000045776367,29
Average,Yes,No,49,Yes,No,53.400001525878906,29
Average,No,No,51,No,No,71.69999694824219,29
Average,No,Yes,24,No,No,81.970001220703125,14
Very High,Yes,Yes,33,No,No,38.58000183105469,38
Fairly Low,No,No,20,Yes,No,65.12999725341797,39
Fairly High,Yes,Yes,53,Yes,No,67.9800033569336,39
Fairly Low,Yes,No,49,Yes,No,69.6500015258789,39
Fairly Low,No,No,52,No,No,73.470001220703125,40
Fairly High,Yes,No,41,Yes,No,93.9000015258789,40
Very High,Yes,No,54,Yes,Yes,71,40
Very High,No,Yes,26,No,No,43.22999954223633,38
Fairly Low,No,No,59,Yes,No,71.43000030517578,41
Fairly High,Yes,Yes,70,Yes,No,83.41999816894531,42
Fairly High,Yes,No,43,Yes,No,57.880001068115234,42
Fairly High,Yes,No,51,Yes,No,52.33000183105469,42
Average,No,Yes,25,No,No,66.720001220703125,43
Average,No,No,41,Yes,No,64.2300033569336,43
Very High,No,No,22,Yes,No,41.91999816894531,38
Average,Yes,Yes,39,No,No,58.599998474121094,44
Fairly High,No,No,82,Yes,No,66.33000183105469,44
Fairly Low,No,Yes,48,Yes,No,49.119998931884766,45
Average,No,No,48,Yes,No,87.19999694824219,46
Fairly Low,No,No,65,Yes,No,59.970001220703125,46
Average,Yes,Yes,46,No,No,46.599998474121094,46
Average,No,No,58,Yes,No,54.52000045776367,46
Fairly High,Yes,No,37,Yes,No,44.22999954223633,47
Fairly Low,No,Yes,61,Yes,No,69.720001220703125,47
Average,Yes,Yes,23,Yes,Yes,52.369998931884766,47
Fairly Low,No,Yes,69,Yes,No,67.8499984741211,39
Average,No,Yes,58,No,No,94.58000183105469,48
Fairly High,No,Yes,18,Yes,No,69.8499984741211,49
Fairly High,Yes,Yes,79,Yes,No,66.4800033569336,50
Fairly Low,No,Yes,64,No,No,124.8499984741211,49
Average,No,Yes,75,Yes,No,76.779998779296875,51
Very High,Yes,Yes,34,No,No,64.18000030517578,52
Average,No,Yes,41,No,Yes,55.83000183105469,52
Average,Yes,Yes,25,No,No,58.18000030517578,52
Fairly High,Yes,Yes,27,No,No,55.779998779296875,1
Fairly Low,No,Yes,75,No,No,69.93000030517578,1
Fairly High,Yes,No,33,Yes,No,57.20000076293945,1
Fairly High,No,Yes,42,No,No,82.94999694824219,44
Very High,Yes,No,39,Yes,No,58.22999954223633,44
Very High,Yes,No,56,Yes,No,64.08000183105469,44
Fairly High,Yes,Yes,28,Yes,No,54.77000045776367,50
Fairly High,No,No,60,Yes,No,49.58000183105469,50
Fairly Low,Yes,Yes,34,Yes,No,50.97999954223633,50
Average,No,No,74,Yes,No,74.66999816894531,53
Average,No,No,47,No,No,58.380001068115234,53
Fairly Low,Yes,Yes,36,No,No,55.75,51
Very Low,No,Yes,25,No,No,63.91999816894531,51
Average,Yes,Yes,36,No,No,84.2300033569336,51
Fairly High,No,No,41,Yes,No,57.81999969482422,51
Fairly Low,No,Yes,24,No,No,49.33000183105469,51
Average,Yes,Yes,52,Yes,No,75.470001220703125,51
Fairly High,Yes,No,71,No,No,83,54
Fairly Low,No,Yes,63,No,No,73.0199966430664,54
Average,Yes,Yes,49,Yes,No,71.1500015258789,54
Very High,No,Yes,21,No,Yes,72.83000183105469,55
Fairly Low,No,Yes,20,No,No,64.58000183105469,55
Fairly Low,No,No,69,Yes,No,49.279998779296875,56
Very High,Yes,Yes,55,Yes,No,91.43000030517578,56
Very High,Yes,No,58,Yes,No,80.30000305175781,56
Fairly High,No,Yes,69,Yes,No,74.529998779296875,56
Fairly Low,No,Yes,60,Yes,No,50.970001220703125,56
Very High,No,Yes,65,Yes,No,58.97999954223633,57
Fairly Low,No,Yes,31,Yes,No,99.2300033569336,58
Fairly Low,No,No,43,Yes,No,88.25,58
Fairly High,No,Yes,47,Yes,Yes,112.56999969482422,58
Average,No,Yes,75,Yes,No,144.9199981689453,58
Average,No,Yes,26,No,No,47.91999816894531,59
Average,No,No,44,Yes,No,36.880001068115234,59
Fairly Low,No,No,51,Yes,No,47.349998474121094,59
Fairly High,No,Yes,83,Yes,No,59.31999969482422,59
Very High,Yes,No,43,Yes,Yes,68.87000274658203,59
Very High,No,Yes,47,Yes,No,51.33000183105469,59
Average,No,No,81,Yes,No,70.18000030517578,60
Very Low,No,Yes,76,Yes,No,57.33000183105469,60
Fairly High,Yes,Yes,26,Yes,No,106.37000274658203,60
Average,Yes,No,73,Yes,No,69.529998779296875,61
Very High,Yes,No,59,Yes,No,67.3499984741211,59
Average,Yes,Yes,62,No,No,53.33000183105469,62
Average,No,Yes,56,No,No,73.9000015258789,54
Average,Yes,Yes,41,No,No,55.900001525878906,54
Fairly High,No,Yes,68,No,No,82.2300033569336,63
Fairly Low,No,Yes,22,No,No,63.119998931884766,63
Fairly Low,No,No,23,No,No,57.04999923706055,62
Fairly Low,No,Yes,40,No,No,61.54999923706055,50
Fairly High,No,Yes,63,Yes,No,78.30000305175781,64
Very Low,No,Yes,61,No,No,66.87000274658203,65
Average,No,No,41,No,No,62.54999923706055,1
Fairly High,Yes,No,34,Yes,No,50.29999923706055,66
Fairly High,Yes,No,34,Yes,No,57.27000045776367,66
Fairly Low,Yes,Yes,40,Yes,Yes,52.470001220703125,61
Very High,Yes,Yes,30,Yes,No,70.029998779296875,61
Fairly High,Yes,Yes,68,Yes,No,67.9800033569336,61
Fairly High,No,No,32,No,No,93.56999969482422,39
Fairly Low,Yes,No,39,No,No,58.380001068115234,39
Fairly Low,No,Yes,51,Yes,No,85.08000183105469,39
Fairly Low,Yes,Yes,34,Yes,No,54.08000183105469,39
Average,No,No,45,Yes,No,67.529998779296875,39
Fairly High,No,No,64,Yes,No,73.69999694824219,55
Average,No,Yes,75,Yes,No,105.3499984741211,55
Fairly Low,No,No,76,Yes,No,87.66999816894531,55
Average,No,No,39,Yes,No,60.849998474121094,44
Average,Yes,Yes,32,Yes,No,62.95000076293945,44
Fairly Low,No,Yes,28,No,No,68.87999725341797,55
Fairly High,No,Yes,62,Yes,No,102.62999725341797,67
Fairly High,Yes,No,24,No,Yes,117.0999984741211,67
Fairly High,No,Yes,68,No,No,75.470001220703125,45
Average,No,No,63,Yes,No,57.72999954223633,68
Very Low,No,No,40,Yes,No,56.79999923706055,68
Fairly Low,No,No,45,No,No,62.93000030517578,44
