polInf,collegeDegree,female,age,homeOwn,govt,length,id
Very Low,No,Yes,59,Yes,No,63.099998474121094,44
Average,Yes,Yes,40,Yes,No,74.62000274658203,69
Fairly High,Yes,No,52,Yes,Yes,82.75,69
Average,No,No,72,Yes,No,87.0999984741211,69
Very High,Yes,Yes,59,Yes,No,99.5199966430664,69
Very High,Yes,No,32,No,No,37.79999923706055,70
Average,Yes,Yes,57,Yes,No,89.1500015258789,71
Fairly Low,No,No,32,Yes,No,66.2699966430664,44
Fairly High,No,Yes,23,No,No,60.47999954223633,72
Very High,No,Yes,63,Yes,No,93.720001220703125,72
Very High,Yes,Yes,32,Yes,No,73.18000030517578,72
Average,No,Yes,68,Yes,No,72.5,67
Average,No,No,65,Yes,Yes,81.80000305175781,67
Fairly Low,No,Yes,78,Yes,No,67.56999969482422,67
Average,No,No,52,Yes,No,62.349998474121094,51
Fairly High,No,Yes,57,Yes,Yes,52.349998474121094,51
Average,No,Yes,72,Yes,No,106.37000274658203,55
Very High,Yes,No,23,No,No,73.56999969482422,55
Average,No,Yes,34,No,No,38.22999954223633,73
Average,No,Yes,23,No,No,40.02000045776367,73
Fairly High,Yes,No,42,Yes,Yes,44.91999816894531,73
Average,Yes,Yes,46,Yes,No,67.69999694824219,73
Very Low,No,No,23,No,No,76.56999969482422,74
Very High,Yes,No,35,No,No,56.93000030517578,74
Fairly Low,No,Yes,77,Yes,No,72.279998779296875,61
Average,No,Yes,36,No,No,66.87999725341797,61
Average,Yes,Yes,58,Yes,No,76,61
Average,No,Yes,69,Yes,No,94.529998779296875,71
Average,Yes,Yes,47,Yes,Yes,60.81999969482422,46
Average,No,No,51,Yes,No,76.12000274658203,46
Average,Yes,Yes,43,Yes,No,50.75,46
Average,No,Yes,21,No,No,84.7699966430664,75
Average,No,Yes,43,Yes,No,206.6699981689453,75
Average,No,Yes,26,No,No,56.66999816894531,75
Fairly Low,No,No,27,No,Yes,67.93000030517578,67
Fairly Low,No,Yes,35,No,No,87.4000015258789,48
Fairly High,Yes,No,52,No,Yes,81.1500015258789,48
Fairly Low,Yes,Yes,42,No,No,69.58000183105469,48
Fairly High,Yes,Yes,26,Yes,Yes,59.369998931884766,63
Fairly Low,No,No,30,Yes,No,88.5999984741211,63
Average,No,Yes,41,No,Yes,51.470001220703125,29
Fairly High,Yes,Yes,36,Yes,No,52.54999923706055,40
Very High,Yes,Yes,70,Yes,No,73.08000183105469,76
Fairly High,No,No,31,No,No,83.41999816894531,39
Fairly High,No,Yes,65,Yes,No,83.470001220703125,1
Fairly High,No,No,40,Yes,No,70.0199966430664,77
Fairly Low,No,Yes,50,Yes,Yes,60.380001068115234,47
Very Low,No,Yes,23,Yes,No,54.470001220703125,78
Very Low,No,No,43,No,No,58.25,47
Very High,Yes,Yes,56,Yes,No,56.27000045776367,79
Average,No,No,58,Yes,No,55.31999969482422,79
Average,No,Yes,46,Yes,No,56.29999923706055,79
Average,No,No,41,No,No,143.5,67
Fairly Low,Yes,No,89,Yes,No,79.529998779296875,48
Average,No,No,32,No,No,66.56999969482422,48
Fairly Low,Yes,Yes,63,No,No,79.279998779296875,48
Fairly Low,No,Yes,25,No,No,58.029998779296875,72
Average,Yes,Yes,65,No,No,100.47000122070312,67
Average,Yes,Yes,42,No,No,41.970001220703125,40
Average,No,No,27,No,No,61.150001525878906,40
Very Low,No,Yes,44,No,No,90,40
Average,Yes,No,40,Yes,Yes,55.58000183105469,80
Fairly High,No,Yes,75,Yes,No,68.55000305175781,80
Fairly Low,Yes,No,39,Yes,Yes,60.56999969482422,41
Average,No,No,67,Yes,No,53.54999923706055,41
Fairly High,Yes,Yes,34,No,No,56.08000183105469,54
Average,Yes,No,85,No,No,55.779998779296875,54
Average,No,Yes,58,No,No,62.720001220703125,52
Average,Yes,No,33,No,Yes,50.93000030517578,52
Very High,Yes,No,39,Yes,No,137.27000427246094,52
Fairly High,No,No,63,Yes,No,66.5199966430664,56
Average,Yes,No,25,No,No,55.66999816894531,54
Average,Yes,Yes,56,Yes,No,71.25,54
Average,Yes,Yes,32,No,No,72.25,54
Very Low,No,No,67,No,No,72.75,54
Average,Yes,No,40,Yes,No,70.06999969482422,1
Fairly Low,No,Yes,33,Yes,No,42.029998779296875,76
Fairly High,No,No,40,No,No,111.94999694824219,76
Fairly High,Yes,No,73,Yes,No,158.97999572753906,76
Average,No,Yes,35,No,Yes,82.31999969482422,76
Fairly High,Yes,No,73,Yes,No,106.33000183105469,76
Fairly High,No,Yes,61,Yes,No,65.7699966430664,76
Fairly Low,No,No,28,No,No,55.52000045776367,76
Average,No,Yes,50,Yes,No,165.8300018310547,76
Very High,Yes,Yes,42,No,No,142.67999267578125,76
Very High,Yes,No,43,Yes,No,68.68000030517578,80
Very High,Yes,No,55,Yes,No,91.7699966430664,67
Fairly High,Yes,Yes,36,Yes,Yes,77.33000183105469,81
Fairly High,Yes,Yes,30,Yes,No,55.22999954223633,81
Very Low,No,Yes,75,Yes,No,100.8499984741211,43
Average,No,No,71,Yes,No,90.1500015258789,81
Very High,Yes,Yes,38,Yes,No,68.43000030517578,81
Fairly High,Yes,Yes,44,Yes,No,100.05000305175781,81
Very High,Yes,Yes,54,Yes,No,167.02000427246094,57
Fairly Low,No,Yes,89,Yes,No,98.62000274658203,57
Fairly Low,No,Yes,82,Yes,No,22.030000686645508,57
Fairly Low,No,Yes,24,No,No,113.19999694824219,43
Average,No,Yes,19,Yes,No,86.66999816894531,43
Very High,Yes,No,49,Yes,No,73.37999725341797,43
Average,No,Yes,50,Yes,No,62.720001220703125,60
Fairly High,Yes,Yes,48,Yes,No,89.83000183105469,60
Fairly Low,No,No,29,No,No,56,60
Fairly High,Yes,Yes,51,No,No,88.279998779296875,60
Fairly High,Yes,No,37,No,No,108.02999877929688,82
Fairly High,No,Yes,21,No,No,67.18000030517578,82
Very High,Yes,No,56,Yes,No,124.37000274658203,82
Average,No,Yes,53,Yes,No,92.16999816894531,82
Fairly High,Yes,No,50,Yes,Yes,72.55000305175781,83
Fairly Low,No,Yes,39,Yes,No,77.56999969482422,1
Very Low,No,No,41,No,No,75.1500015258789,83
Fairly High,No,Yes,21,Yes,No,48.529998779296875,83
Fairly Low,No,Yes,21,No,No,52.630001068115234,33
Average,No,Yes,20,No,No,63.650001525878906,60
Average,No,No,36,No,No,44.45000076293945,60
Fairly High,No,Yes,54,Yes,No,124.37000274658203,60
Very High,Yes,Yes,57,Yes,No,112.75,60
Very Low,No,Yes,46,No,No,67,1
Very High,Yes,Yes,46,Yes,No,58.5,84
Very High,Yes,No,28,No,No,70.16999816894531,53
Fairly High,No,No,36,Yes,No,74.06999969482422,85
Fairly High,No,Yes,40,Yes,No,59.849998474121094,85
Very High,No,No,53,Yes,No,57.25,53
Very Low,No,No,19,Yes,No,46.349998474121094,86
Fairly Low,No,Yes,18,No,No,46.029998779296875,86
Very Low,No,No,38,Yes,No,45.08000183105469,86
Very Low,No,Yes,20,No,No,58.70000076293945,86
Very High,No,Yes,31,Yes,No,49.47999954223633,65
Very High,Yes,No,81,Yes,No,62.77000045776367,65
Very High,Yes,No,30,No,Yes,92.0999984741211,65
Average,Yes,Yes,80,Yes,No,91.029998779296875,21
Average,Yes,Yes,52,Yes,No,58.54999923706055,61
Average,No,No,41,No,No,50.54999923706055,61
Very High,Yes,No,49,Yes,No,81.6500015258789,61
Average,No,Yes,49,Yes,No,68.81999969482422,47
Fairly Low,No,Yes,21,No,No,59.72999954223633,72
Average,No,Yes,57,Yes,No,82.470001220703125,43
Fairly Low,No,Yes,39,No,No,103.9800033569336,43
Very Low,No,Yes,36,No,No,66.220001220703125,43
Very High,No,Yes,44,Yes,No,59.41999816894531,43
Fairly Low,No,Yes,26,No,No,93.7300033569336,43
Average,No,No,22,No,No,44.029998779296875,7
Average,No,Yes,79,Yes,No,51.279998779296875,7
Average,No,No,66,Yes,No,89.37999725341797,84
Very High,No,No,88,No,No,100.30000305175781,84
Fairly Low,No,Yes,38,Yes,No,62.029998779296875,84
Fairly High,No,Yes,25,Yes,No,47.06999969482422,7
Average,No,Yes,82,Yes,No,58.380001068115234,7
NA,No,Yes,65,No,No,NA,7
Average,No,No,27,No,No,39.529998779296875,7
Fairly Low,No,Yes,33,No,No,50.16999816894531,68
Fairly High,No,Yes,60,No,No,92.3499984741211,68
Very High,Yes,No,52,No,No,60.970001220703125,68
Average,Yes,No,24,Yes,Yes,56.45000076293945,53
Fairly High,No,No,76,Yes,No,129.0800018310547,53
Very High,Yes,No,65,Yes,No,110.0999984741211,53
Average,Yes,No,46,Yes,Yes,42.970001220703125,34
Very Low,No,No,73,Yes,No,71.279998779296875,53
Very Low,No,No,40,Yes,No,75.470001220703125,60
Fairly Low,No,Yes,56,Yes,No,49.369998931884766,7
Fairly Low,Yes,Yes,31,Yes,Yes,44.95000076293945,7
Fairly High,Yes,No,43,Yes,Yes,57.650001525878906,52
Average,No,No,77,Yes,No,92.2300033569336,52
Very High,Yes,No,66,Yes,No,129.17999267578125,52
Average,No,Yes,51,No,No,74.529998779296875,21
Very High,Yes,Yes,35,Yes,No,92.44999694824219,20
Fairly Low,No,No,70,Yes,No,74.5999984741211,20
Average,No,Yes,28,No,No,62.06999969482422,20
Average,No,Yes,33,Yes,No,53.630001068115234,20
Fairly High,No,Yes,52,No,No,61.29999923706055,25
Fairly High,Yes,No,47,No,Yes,69.279998779296875,24
Very High,Yes,No,67,Yes,No,57.900001525878906,24
Fairly High,No,Yes,24,No,No,89.87000274658203,24
Average,Yes,Yes,32,Yes,No,58.650001525878906,2
Fairly High,No,Yes,46,Yes,No,42.16999816894531,2
Fairly Low,Yes,Yes,34,Yes,No,36.72999954223633,32
Fairly Low,Yes,Yes,56,Yes,No,41.27000045776367,32
Fairly High,Yes,Yes,47,Yes,Yes,54.47999954223633,21
Very High,Yes,No,53,Yes,No,68,21
Average,Yes,Yes,59,Yes,No,67.12999725341797,34
Very High,Yes,Yes,48,Yes,Yes,77.16999816894531,6
Very High,Yes,Yes,43,Yes,No,52.97999954223633,6
Average,Yes,Yes,29,Yes,No,80.470001220703125,6
Very High,Yes,No,56,Yes,No,65.80000305175781,34
Fairly High,No,No,67,No,No,51.029998779296875,25
Average,No,Yes,70,No,No,57.119998931884766,25
Fairly High,Yes,No,46,No,No,44.720001220703125,25
Average,Yes,No,65,Yes,No,130.17999267578125,21
Fairly High,No,Yes,62,Yes,No,54.529998779296875,25
Very High,No,Yes,35,No,No,65.9800033569336,25
Fairly High,Yes,Yes,56,Yes,Yes,57.95000076293945,25
Very High,No,No,45,Yes,No,70.6500015258789,2
Very High,Yes,No,50,Yes,No,56.099998474121094,6
Very Low,No,Yes,53,Yes,No,55.619998931884766,87
Very High,Yes,Yes,53,Yes,No,111.19999694824219,87
Average,No,No,43,No,No,77.2300033569336,3
Fairly Low,No,Yes,56,Yes,No,71.529998779296875,3
Average,No,No,26,No,No,93,3
Fairly Low,No,Yes,33,Yes,No,59.5,3
Fairly High,No,Yes,32,Yes,No,68.779998779296875,3
Very High,No,No,54,Yes,No,82.029998779296875,3
Very High,No,Yes,67,Yes,No,69.720001220703125,7
Very High,No,No,49,Yes,No,85.5199966430664,27
Very High,Yes,No,55,Yes,No,57.08000183105469,27
Very High,Yes,No,25,No,Yes,54.849998474121094,27
Very Low,No,Yes,42,No,Yes,63.900001525878906,87
Fairly High,Yes,Yes,23,Yes,No,53.880001068115234,87
Fairly High,No,Yes,59,Yes,No,84.5199966430664,87
Average,No,Yes,75,Yes,No,90.37000274658203,87
Fairly High,No,Yes,79,Yes,No,139.5500030517578,3
Very High,No,No,36,No,No,88.779998779296875,87
Average,No,Yes,55,Yes,No,46.70000076293945,87
Very Low,Yes,No,23,Yes,No,41.33000183105469,87
Very Low,Yes,Yes,25,Yes,No,47.650001525878906,87
Average,No,Yes,43,Yes,No,64.30000305175781,87
Fairly Low,No,Yes,44,Yes,Yes,73.2300033569336,87
Fairly Low,No,Yes,84,No,No,60.54999923706055,38
Fairly High,Yes,No,38,Yes,No,74.1500015258789,5
Very Low,No,Yes,71,Yes,No,91.5999984741211,28
Fairly High,No,No,82,Yes,No,84.5999984741211,7
Average,Yes,No,37,Yes,Yes,99.75,4
Very High,Yes,No,83,Yes,No,96.4800033569336,6
Very High,Yes,Yes,57,Yes,No,34.380001068115234,28
Fairly Low,No,Yes,40,No,No,51.849998474121094,28
Very High,Yes,Yes,54,Yes,No,72.69999694824219,28
Very High,No,No,69,Yes,No,75.56999969482422,38
Fairly High,No,Yes,56,Yes,No,63.79999923706055,21
Average,No,No,41,Yes,No,56.369998931884766,9
Fairly High,No,Yes,21,Yes,No,49.02000045776367,9
Average,Yes,Yes,NA,Yes,No,86.58000183105469,9
Very High,No,No,30,No,No,58.58000183105469,63
Fairly Low,No,Yes,19,No,No,43,5
Very Low,No,Yes,53,No,No,53.869998931884766,88
Very High,Yes,No,36,Yes,Yes,59.900001525878906,88
Average,No,Yes,34,No,No,66.25,88
Very Low,No,Yes,37,No,No,53.47999954223633,88
Fairly High,Yes,No,56,Yes,Yes,58.08000183105469,88
Average,No,Yes,48,Yes,No,74.81999969482422,51
Fairly Low,No,Yes,60,Yes,Yes,64.25,51
Fairly High,Yes,Yes,35,Yes,No,59.47999954223633,53
Average,No,Yes,57,Yes,No,127.0199966430664,67
Very High,Yes,No,25,Yes,No,57.869998931884766,7
Average,No,No,41,No,No,62.279998779296875,7
Fairly Low,No,Yes,62,No,No,138.3800048828125,14
Fairly High,Yes,No,38,Yes,No,66.9800033569336,14
Average,No,No,27,Yes,No,154.3699951171875,14
Average,No,Yes,36,Yes,No,65.81999969482422,55
Fairly High,Yes,No,64,Yes,No,47.369998931884766,45
Average,Yes,Yes,56,Yes,No,70.0199966430664,45
Average,Yes,Yes,41,Yes,No,54.41999816894531,45
Very High,Yes,No,35,Yes,No,58.95000076293945,32
Average,Yes,Yes,42,Yes,Yes,56.529998779296875,32
Average,No,Yes,48,Yes,No,45.150001525878906,32
Fairly Low,No,Yes,44,Yes,No,46.529998779296875,32
Very High,No,No,38,Yes,Yes,198.25,89
Fairly High,No,Yes,59,Yes,No,98.5,89
Average,No,Yes,80,Yes,No,124.2699966430664,89
Fairly High,Yes,Yes,50,No,No,88.2300033569336,89
Fairly High,No,No,63,Yes,No,118.22000122070312,89
Average,No,Yes,47,Yes,Yes,62.279998779296875,89
Very High,No,No,42,Yes,No,50.79999923706055,89
Average,No,Yes,18,No,No,68,89
Fairly High,No,No,88,Yes,No,57.900001525878906,45
Fairly High,No,No,63,Yes,No,69.529998779296875,39
Very High,No,No,34,Yes,No,62.5,57
NA,No,Yes,31,No,No,NA,43
Very High,Yes,No,47,Yes,No,65.94999694824219,43
Fairly High,Yes,Yes,66,Yes,No,142.07000732421875,90
Very High,Yes,No,42,Yes,Yes,60.130001068115234,90
Fairly Low,No,Yes,27,No,No,42.06999969482422,90
Very High,No,Yes,34,No,No,47.119998931884766,91
Fairly Low,No,No,37,No,No,39.45000076293945,91
Very High,Yes,Yes,43,No,No,55.75,91
Very High,Yes,No,69,No,Yes,65.37999725341797,91
Very High,Yes,Yes,76,No,No,67.970001220703125,91
Very High,Yes,No,60,Yes,No,89.19999694824219,91
Very High,Yes,No,45,Yes,No,84.94999694824219,92
Average,No,No,73,Yes,Yes,71.4000015258789,92
Very High,No,No,46,No,No,121.5,16
Fairly Low,Yes,Yes,85,Yes,No,83.220001220703125,92
Average,No,Yes,34,No,No,65.94999694824219,92
Very Low,No,Yes,36,Yes,No,60.470001220703125,92
Fairly Low,No,No,29,No,No,72.19999694824219,92
Fairly High,No,No,82,Yes,No,66.5999984741211,92
Average,No,No,68,Yes,No,58.04999923706055,92
Average,Yes,No,27,No,No,57.95000076293945,92
Very High,No,No,58,Yes,No,69.75,83
Fairly High,No,Yes,49,Yes,No,112.7300033569336,83
Very High,Yes,No,33,Yes,No,47.27000045776367,83
Average,No,Yes,71,No,No,100.58000183105469,39
Average,No,Yes,65,No,No,90.68000030517578,39
Fairly Low,Yes,Yes,48,Yes,Yes,80.93000030517578,39
Average,No,Yes,20,No,No,55.720001220703125,39
Fairly Low,No,No,42,Yes,No,66.12999725341797,93
Very High,No,No,31,No,No,65,93
Fairly High,No,Yes,65,Yes,No,62.5,80
Average,Yes,No,38,Yes,No,51.20000076293945,80
Fairly High,Yes,No,72,Yes,No,95.56999969482422,80
Average,No,Yes,31,Yes,No,41.349998474121094,38
Fairly High,No,No,49,Yes,No,85.37000274658203,7
Fairly High,Yes,No,83,Yes,No,73.7699966430664,83
Average,Yes,Yes,55,Yes,Yes,87.55000305175781,41
Average,No,Yes,67,Yes,No,69.0199966430664,41
Fairly Low,Yes,Yes,23,Yes,No,57.22999954223633,41
Fairly Low,No,Yes,31,Yes,No,51.619998931884766,48
Average,No,No,49,Yes,No,104.91999816894531,48
Fairly Low,No,No,20,No,Yes,45.130001068115234,48
Average,No,No,79,Yes,No,68.779998779296875,48
Average,Yes,No,49,Yes,No,152.3699951171875,46
Average,No,No,37,Yes,No,60.04999923706055,46
Fairly Low,No,Yes,45,Yes,No,61.43000030517578,77
Fairly High,Yes,No,42,Yes,Yes,96.56999969482422,77
Fairly Low,No,No,53,Yes,No,60.68000030517578,88
Average,No,No,61,No,No,63.29999923706055,88
Fairly High,No,No,36,Yes,No,115.93000030517578,88
Average,No,Yes,28,Yes,No,51.22999954223633,53
Fairly High,No,No,28,No,No,55.45000076293945,63
Very High,Yes,No,26,No,No,56.81999969482422,63
Average,No,Yes,77,No,No,103.4000015258789,61
Very High,No,Yes,63,No,No,86.7699966430664,61
Fairly Low,No,No,59,No,No,52.31999969482422,50
Average,No,Yes,58,Yes,No,50.04999923706055,50
Average,No,Yes,19,Yes,No,66.5199966430664,50
Very Low,No,Yes,81,Yes,No,38.41999816894531,50
Fairly High,Yes,Yes,47,Yes,No,74.5,50
Very High,No,Yes,64,No,No,83.720001220703125,50
Fairly Low,No,Yes,22,Yes,No,40.970001220703125,50
Average,Yes,Yes,49,Yes,No,70.529998779296875,41
Fairly High,Yes,Yes,80,No,No,60.220001220703125,41
Average,No,Yes,70,Yes,No,61.06999969482422,41
Fairly High,Yes,No,53,Yes,No,76.4000015258789,46
Fairly Low,No,Yes,21,Yes,No,50.18000030517578,66
Average,No,No,74,No,No,69.279998779296875,66
Average,Yes,Yes,60,No,No,60.75,66
Average,No,No,40,Yes,No,64.56999969482422,39
Fairly High,No,No,57,Yes,No,68.31999969482422,39
Fairly High,Yes,No,31,Yes,No,59.70000076293945,1
Average,No,No,75,No,No,60.29999923706055,1
Fairly Low,No,No,64,No,No,89.66999816894531,70
Very High,Yes,No,47,Yes,No,61.130001068115234,70
Fairly High,No,No,55,Yes,No,68.220001220703125,70
Very High,No,No,55,Yes,No,79.2699966430664,38
Fairly Low,No,Yes,20,Yes,No,69.94999694824219,50
Fairly High,Yes,No,54,No,No,66.279998779296875,50
Average,Yes,No,39,Yes,No,58.04999923706055,64
Fairly Low,No,No,63,No,No,94.25,64
Fairly High,Yes,Yes,54,Yes,No,85.30000305175781,64
Average,No,Yes,88,Yes,No,67.8499984741211,49
Fairly High,No,No,93,Yes,No,49.75,49
Very Low,No,Yes,38,No,No,65,94
Very Low,No,Yes,56,No,No,90.93000030517578,94
Very High,Yes,No,49,Yes,Yes,88.87000274658203,94
Fairly High,Yes,Yes,23,Yes,No,73.9800033569336,94
Fairly Low,No,Yes,19,No,No,63.970001220703125,95
Fairly Low,No,Yes,33,No,Yes,62,95
Fairly Low,No,No,18,No,No,34.91999816894531,95
Average,No,No,64,No,No,59.72999954223633,95
Average,Yes,Yes,39,Yes,No,99.93000030517578,52
Fairly High,No,No,27,No,No,79.18000030517578,1
Average,No,Yes,68,Yes,No,51.04999923706055,1
Fairly Low,No,Yes,58,Yes,No,62.06999969482422,1
Average,No,Yes,43,Yes,No,44.220001220703125,96
Average,No,No,44,Yes,No,49.52000045776367,96
Average,No,Yes,40,Yes,No,52.099998474121094,96
Average,No,Yes,52,Yes,No,53.47999954223633,96
Average,No,Yes,39,Yes,No,75.56999969482422,45
Average,Yes,Yes,56,Yes,No,23.399999618530273,45
Very Low,No,No,29,No,No,64.31999969482422,45
Fairly Low,No,Yes,45,Yes,No,99.33000183105469,45
Average,No,Yes,40,No,No,61.529998779296875,86
Average,Yes,Yes,26,No,Yes,54.619998931884766,86
Very Low,No,No,21,No,No,77.41999816894531,86
Average,Yes,No,75,Yes,No,65.81999969482422,86
Average,Yes,Yes,34,No,No,59.279998779296875,97
Average,No,Yes,44,Yes,No,75.55000305175781,88
Very Low,No,Yes,19,No,No,67.5,88
Fairly Low,No,Yes,75,Yes,No,92.7699966430664,64
Very High,Yes,No,39,Yes,No,51.400001525878906,98
Fairly High,Yes,No,79,Yes,No,64.2300033569336,98
Average,No,Yes,63,Yes,No,73.5999984741211,98
Average,Yes,Yes,40,Yes,No,59.70000076293945,98
Average,No,No,52,No,No,63.630001068115234,75
Very Low,No,Yes,38,Yes,No,64.19999694824219,75
Fairly High,No,No,76,Yes,No,71.83000183105469,70
Average,No,Yes,76,Yes,No,85.029998779296875,70
Average,No,Yes,66,Yes,No,125.37999725341797,70
Average,No,No,35,No,Yes,98.31999969482422,70
Average,Yes,Yes,81,Yes,No,84.56999969482422,88
Fairly Low,Yes,Yes,24,No,No,47.58000183105469,72
Fairly Low,No,No,21,No,No,54.27000045776367,72
Average,No,Yes,75,Yes,No,74.529998779296875,47
Average,No,Yes,70,Yes,No,70.7699966430664,47
Fairly Low,No,Yes,57,Yes,No,83.2300033569336,47
Fairly High,No,Yes,74,Yes,No,80.83000183105469,68
Very Low,No,Yes,78,Yes,No,41.58000183105469,68
Average,Yes,Yes,47,Yes,No,70.87000274658203,68
Fairly Low,No,Yes,45,No,No,59.06999969482422,41
Average,No,Yes,61,Yes,No,54.79999923706055,41
Average,No,Yes,47,No,No,66.41999816894531,41
Very Low,No,No,32,No,No,57.97999954223633,41
Very Low,No,Yes,31,No,No,57.630001068115234,94
Fairly Low,No,No,62,Yes,No,71.8499984741211,53
Fairly High,No,Yes,34,Yes,No,55.66999816894531,53
Average,No,Yes,83,Yes,No,58.93000030517578,53
Average,Yes,No,28,No,No,52.380001068115234,54
Very High,Yes,No,45,Yes,No,56.849998474121094,45
Average,Yes,Yes,47,Yes,No,65.58000183105469,45
Fairly Low,No,No,40,Yes,No,79.83000183105469,45
Very Low,No,Yes,29,No,No,71.93000030517578,94
Fairly Low,No,Yes,58,Yes,No,91.9000015258789,58
Very High,Yes,Yes,37,Yes,No,78.279998779296875,58
Average,No,No,33,Yes,No,82.87000274658203,58
Very Low,No,No,20,Yes,No,55.029998779296875,58
Average,Yes,Yes,40,Yes,No,114.33000183105469,58
Fairly High,Yes,No,38,Yes,No,60.70000076293945,96
Fairly High,No,No,50,Yes,No,37.720001220703125,96
Average,Yes,Yes,37,No,Yes,65.2300033569336,53
Fairly Low,No,Yes,55,No,No,65.68000030517578,53
Average,No,No,58,Yes,Yes,65.83000183105469,53
Average,No,Yes,85,Yes,No,75.44999694824219,1
Fairly High,No,Yes,76,No,No,74.720001220703125,1
Very High,Yes,Yes,36,Yes,No,59.91999816894531,1
Fairly High,Yes,Yes,69,Yes,No,57.97999954223633,1
Fairly High,No,No,45,Yes,No,76.0999984741211,53
Fairly Low,No,No,77,Yes,No,105.93000030517578,53
Fairly High,Yes,No,48,Yes,No,53.43000030517578,66
Average,No,Yes,20,Yes,Yes,51.83000183105469,66
Fairly High,Yes,No,39,Yes,No,56.849998474121094,66
Average,No,Yes,49,No,No,56.18000030517578,66
Fairly Low,No,Yes,55,No,No,59.70000076293945,66
Fairly High,No,Yes,50,Yes,No,62.279998779296875,66
Average,No,Yes,79,Yes,No,64.9000015258789,68
Fairly Low,No,No,21,No,No,54.220001220703125,94
Very Low,No,Yes,46,No,No,63.83000183105469,70
Average,No,Yes,63,Yes,No,161.6699981689453,70
Fairly High,No,No,59,Yes,No,57.33000183105469,68
Fairly Low,No,No,33,Yes,No,50.41999816894531,73
Fairly High,Yes,Yes,48,Yes,Yes,64.5,73
Fairly High,Yes,Yes,40,Yes,No,52.04999923706055,73
Fairly High,Yes,Yes,57,Yes,No,79.220001220703125,89
Average,No,Yes,50,Yes,No,117,89
Average,Yes,Yes,29,No,Yes,83.06999969482422,53
Average,Yes,Yes,52,Yes,No,85.470001220703125,43
Fairly High,Yes,Yes,44,Yes,No,87.80000305175781,43
Fairly High,No,Yes,79,Yes,No,166.8000030517578,43
Fairly High,Yes,Yes,41,No,No,202.4199981689453,82
Average,Yes,Yes,36,No,Yes,96.6500015258789,82
Very Low,Yes,Yes,31,Yes,No,93.66999816894531,98
Fairly Low,No,Yes,20,No,No,75.12000274658203,98
Fairly High,No,Yes,80,Yes,No,96,99
Fairly High,No,Yes,36,No,No,66.12999725341797,48
Average,No,No,36,Yes,No,62.58000183105469,48
Average,Yes,No,81,No,No,72.2699966430664,48
Average,No,No,38,Yes,Yes,67.37000274658203,48
Fairly High,No,No,74,Yes,No,74.470001220703125,48
Very High,Yes,No,57,Yes,No,91.62999725341797,48
